month,total_users_start,churned_users,avg_account_age_days_churned,dormant_accounts_churned,negative_balance_churned,support_tickets_before_churn,premium_users_churned
2024-01,45000,2500,78,120,45,185,15
2024-02,49700,2830,75,136,51,212,19
2024-03,54870,3000,77,144,54,225,21
2024-04,60635,3170,76,150,57,238,23
2024-05,67065,3230,79,155,58,242,24
2024-06,74015,3350,82,159,60,246,25
2024-07,80920,3700,80,177,66,278,29
2024-08,87920,4300,75,215,78,322,35
2024-09,95215,4950,70,257,89,372,42
2024-10,102705,5750,65,302,104,431,52
2024-11,110460,6850,60,370,123,514,68
2024-12,118570,8150,55,456,147,611,89
