month,total_transactions,total_transaction_value,avg_transaction_value,total_revenue,p2p_transfer_count,bill_payment_count,merchant_payment_count,atm_withdrawal_count,international_transfer_count
2024-01,183500,24355000,132.72,192500,62390,45875,58720,12145,4370
2024-02,204300,27580500,135,215250,69462,51142,65204,13389,5103
2024-03,225100,30614200,136,240300,76534,56300,71635,14631,5941
2024-04,246400,33758000,137,267500,83776,61600,78848,15768,6408
2024-05,268650,37343350,139,295200,91341,67162,85968,17196,6983
2024-06,291300,40782000,140,322100,98042,72825,93216,18643,7574
2024-07,307120,41460400,135,318250,104419,76780,95207,19963,7751
2024-08,322800,41964000,130,309700,110474,80700,98454,20659,7513
2024-09,338400,40608000,120,298500,115088,84600,101520,21470,6722
2024-10,354300,38973000,110,284200,120462,88575,104522,22320,5921
2024-11,367050,36705000,100,268500,124793,91763,106445,23119,5130
2024-12,378900,34101000,90,249700,128826,94725,109881,23869,4599
