month,acquisition_channel,new_users,acquisition_cost,first_deposit_users,avg_first_deposit_amount
2024-01,Paid Search,1250,56250,875,325.5
2024-01,Social Media,1875,78750,1219,287.25
2024-01,Referral,625,12500,513,412.75
2024-01,Organic,950,0,608,356.2
2024-02,Paid Search,1380,62100,952,342.15
2024-02,Social Media,2050,86100,1353,298.5
2024-02,Referral,715,14300,586,435.6
2024-02,Organic,1025,0,667,372.4
2024-03,Paid Search,1520,68400,1064,358.3
2024-03,Social Media,2225,93450,1468,312.2
2024-03,Referral,845,16900,702,458.75
2024-03,Organic,1175,0,763,391.65
2024-04,Paid Search,1685,75825,1180,366.8
2024-04,Social Media,2450,102900,1617,328.5
2024-04,Referral,975,19500,809,470.2
2024-04,Organic,1320,0,871,405.9
2024-05,Paid Search,1825,82125,1278,375.25
2024-05,Social Media,2650,111300,1749,341.75
2024-05,Referral,1050,21000,882,482.5
2024-05,Organic,1425,0,941,418.35
2024-06,Paid Search,1930,86850,1351,383.7
2024-06,Social Media,2325,97650,1488,325.1
2024-06,Referral,1120,22400,941,495.8
2024-06,Organic,1530,0,1010,427.5
2024-07,Paid Search,2015,90675,1390,372.45
2024-07,Social Media,2175,91350,1370,315.4
2024-07,Referral,1185,23700,1007,510.25
2024-07,Organic,1625,0,1073,442.3
2024-08,Paid Search,2150,96750,1483,360.2
2024-08,Social Media,2080,87360,1310,308.75
2024-08,Referral,1285,25700,1105,522.9
2024-08,Organic,1780,0,1175,458.6
2024-09,Paid Search,2275,102375,1547,348.1
2024-09,Social Media,1925,80850,1194,301.2
2024-09,Referral,1350,27000,1175,537.4
2024-09,Organic,1940,0,1281,473.25
2024-10,Paid Search,2410,108450,1615,335.8
2024-10,Social Media,1750,73500,1068,293.5
2024-10,Referral,1475,29500,1295,552.15
2024-10,Organic,2120,0,1399,487.75
2024-11,Paid Search,2550,114750,1683,322.2
2024-11,Social Media,1620,68040,972,285.4
2024-11,Referral,1625,32500,1430,568.3
2024-11,Organic,2315,0,1528,502.15
2024-12,Paid Search,2680,120600,1742,310.5
2024-12,Social Media,1540,64680,893,276.8
2024-12,Referral,1790,35800,1575,583.75
2024-12,Organic,2510,0,1656,516.4
