month,active_users,avg_sessions_per_user,avg_session_duration_minutes,savings_users,investment_users,loan_users,credit_card_users,premium_subscription_users
2024-01,42500,8.2,5.5,27200,12750,8500,18700,4250
2024-02,46670,9.1,6,29000,14000,9100,20300,5020
2024-03,50820,9.8,6.2,31550,15750,9650,21750,5840
2024-04,54900,10.4,6.5,34000,17300,10150,23350,6590
2024-05,59250,11.1,6.8,36600,18950,10600,24800,7410
2024-06,62900,11.5,7,38100,20100,10800,25800,7920
2024-07,66800,10.8,6.7,39500,20500,10700,26100,8010
2024-08,70050,10.2,6.3,40250,20800,10250,26250,8050
2024-09,73150,9.6,5.9,40700,20950,9800,26200,7960
2024-10,76200,9,5.5,40950,21050,9150,26150,7850
2024-11,78900,8.3,5.1,41100,21200,8450,26050,7730
2024-12,81300,7.5,4.7,41200,21250,7800,25900,7640
